"CSE 2nd year 1st semester B section
cse11 data structure
CSE - 7019 B","CSE 2nd year 2nd semester B section
CSE - 2521 Data Structure
CSE - 7019 B","CSE 2nd year 2nd semester B section
EEE - 2823 Electrical Drives & Ins.
CSE - 7019 B",Free,Free,"CSE 2nd year 2nd semester B section
MATH - 2421 Mathmatics IV
CSE - 7019 B","CSE 2nd year 2nd semester B section
CSE - 2821 Digital Electronics & p.
CSE - 7019 B",Free
Free,Free,Free,"CSE 2nd year 2nd semester B section
CSE - 2821 Digital Electronics & P.
CSE - 7019 B","CSE 2nd year 2nd semester B section
MATH - 2421 Mathmatics - IV
CSE - 7019 B","CSE 2nd year 2nd semester B section
CSE - 2823 Computer Architecture
CSE - 7019 B",Free,Free
Free,Free,Free,"CSE 2nd year 2nd semester B section
CSE - 2521 Data Structure
CSE - 7019 B","CSE 2nd year 2nd semester B section
CSE - 2823 Computer Architecture
CSE - 7019 B",Free,Free,Free
Free,Free,Free,"CSE 2nd year 2nd semester B section
EEE -2823 Electrical Drives & I.
CSE - 7019 B","CSE 2nd year 2nd semester B section
MATH - 2421 Mathmatics - IV
CSE - 7019 B",Free,Free,Free
Free,"CSE 2nd year 2nd semester B section
MATH - 2421 Mathematics - IV
CSE - 7019 B","CSE 2nd year 2nd semester B section
CSE - 2821 Digital E. & P. T.
CSE - 7019 B","CSE 2nd year 2nd semester B section
EEE - 2823 Electrical D. & I.
CSE - 7019 B","CSE 2nd year 2nd semester B section
CSE - 2823 Computer Architecture
CSE - 7019 B",Free,"CSE 2nd year 2nd semester B section
CSE - 2521 Data Structure
CSE - 7019 B",Free
