"CSE 2nd year 1st semester A section
1221 ds
LAB 110","CSE 2nd year 2nd semester B section
CSE - 2521 Data Structure
CSE - 7019 B",Free,Free,Free,Free,Free,Free
"CSE 2nd year 2nd semester B section
CSE - 2522 Data Structure Sessional
NW LAB -1","CSE 2nd year 2nd semester B section
CSE - 2522 Data Structure Sessional
NW LAB -1","CSE 2nd year 2nd semester B section
CSE - 2522 Data Structure Sessional
NW LAB -1",Free,Free,Free,Free,Free
Free,Free,Free,Free,Free,Free,Free,Free
Free,Free,Free,Free,Free,Free,Free,Free
Free,Free,Free,Free,Free,Free,"CSE 2nd year 2nd semester B section
CSE - 2521 Data Structure
CSE - 7019 B",Free
